BUG LIST,BUG STATUS,DETAILS,COMMENT
Remove Pop Up messages when participant click on next wihout selecting radio button,RE ENABLED ( Because unable to identify Clicks ),Just disable next button,
Prev button fix,DONE,,
Add page number in database table,DONE,,
Resume Function,DONE ( Able to resume from the latest page updated by user ),Check if a participant completed the study if yes -> Display a participant already completed page otherwise resume from the last updated page number,
Content are not displaying properly on bigger monitor,DONE ( Made fixed screen dimension for the application ),Limit to fixed boundary ( for the entire page ) -> 2560 x 1440 ( resolution - it is not clear ),
Test in Firefox,DONE ( Enabled Lazy Loading Of data with async function and await ),First Page loading after login not working ( image not loading in the first page from second page it is working fine ) ,
Test in Firefox,DONE ( Modified CSS ),Radio button not working in firefox,
Feedback Complete Page,DONE,Use a hash function and hash code in the page,"
def hash_prof_id(prof_id, stage, len=15):

hash_text = prof_id + f'supersecret_stage-{stage}'

full_hash = hashlib.sha256(hash_text.encode()).hexdigest()

return HASH_INTROS[stage] + full_hash[:len-3] # truncate
"
"Need text below warning in card 1 of the study page ( OCDegen Biomarkers
 )",DONE,,
Need to get some sample concept explanation from David,DONE,,
Validate 24 character alpha numeric for - Participant ID ( JS ),DONE,,
Change Next text to Submit at the end of the study,DONE,,
Make provision in the database for total page number ( if total pagenumber = last updated page number ) then participant cannot resume or edit the feedback,DONE,,
Under same port 7000 you should be able to run all 4 type of card application,DONE,,
When radio button is not selected disable next button ( change color ) / an information would be great,"DONE ( Changing color gave issues, added an alert )",,
Add how to access db and basic sqllite script in the document,DONE / Script Written,,
Page Transision ( Image is flickering - Fix it ),Not fixed.,,
Hide fields in the study page like xray location etc ( complete field ) if the information is not available in the input csv,"This will take time, need more html changes needed ( Dropped it for now )",,
